[15/Mar/2017 15:38:00] "GET /entidade/adicionar/ HTTP/1.1" 200 283072
[15/Mar/2017 15:38:00] "GET /arquivos_estaticos/styles/padrao/AdminLTE.min.css HTTP/1.1" 404 1727
[15/Mar/2017 15:38:00] "GET /arquivos_estaticos/scripts/entidade/validar_cpf_cnpj.js HTTP/1.1" 200 6714
[15/Mar/2017 15:38:00] "GET /arquivos_estaticos/styles/padrao/AdminLTE.min.css HTTP/1.1" 404 1727
[15/Mar/2017 15:39:36] "GET /preferencias/ HTTP/1.1" 200 41975
[15/Mar/2017 15:39:36] "GET /arquivos_estaticos/styles/padrao/AdminLTE.min.css HTTP/1.1" 404 1727
[15/Mar/2017 15:39:36] "GET /arquivos_estaticos/styles/padrao/base_format.css HTTP/1.1" 304 0
[15/Mar/2017 15:39:36] "GET /arquivos_estaticos/scripts/preferencias/preferencia.js HTTP/1.1" 304 0
[15/Mar/2017 15:39:36] "GET /arquivos_estaticos/styles/preferencias/salario_minimo.css HTTP/1.1" 304 0
[15/Mar/2017 15:39:36] "GET /arquivos_estaticos/angular-1.5.8/angular-locale_pt-br.js HTTP/1.1" 304 0
[15/Mar/2017 15:39:36] "GET /arquivos_estaticos/styles/padrao/AdminLTE.min.css HTTP/1.1" 404 1727
[15/Mar/2017 15:39:37] "GET /api/preferencias/salarios HTTP/1.1" 200 3292
[15/Mar/2017 15:39:37] "GET /api/preferencias/salario_vigente/ HTTP/1.1" 200 292
[15/Mar/2017 23:09:03] "GET /preferencias/ HTTP/1.1" 200 41975
[15/Mar/2017 23:09:04] "GET /arquivos_estaticos/styles/padrao/AdminLTE.min.css HTTP/1.1" 404 1727
[15/Mar/2017 23:09:04] "GET /arquivos_estaticos/jquery/jquery-2.2.0.min.js HTTP/1.1" 304 0
[15/Mar/2017 23:09:04] "GET /arquivos_estaticos/jquery/jquery-ui-1.11.4/jquery-ui.js HTTP/1.1" 304 0
[15/Mar/2017 23:09:04] "GET /arquivos_estaticos/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 0
[15/Mar/2017 23:09:04] "GET /arquivos_estaticos/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[15/Mar/2017 23:09:04] "GET /arquivos_estaticos/icones/css/font-awesome.min.css HTTP/1.1" 304 0
[15/Mar/2017 23:09:04] "GET /arquivos_estaticos/adminlte/css/AdminLTE.min.css HTTP/1.1" 304 0
[15/Mar/2017 23:09:04] "GET /arquivos_estaticos/scripts/padrao/controle_botoes.js HTTP/1.1" 304 0
[15/Mar/2017 23:09:04] "GET /arquivos_estaticos/adminlte/css/skins/skin-blue.min.css HTTP/1.1" 304 0
[15/Mar/2017 23:09:04] "GET /arquivos_estaticos/styles/padrao/base_format.css HTTP/1.1" 304 0
[15/Mar/2017 23:09:04] "GET /arquivos_estaticos/scripts/preferencias/preferencia.js HTTP/1.1" 304 0
[15/Mar/2017 23:09:04] "GET /arquivos_estaticos/styles/preferencias/salario_minimo.css HTTP/1.1" 304 0
[15/Mar/2017 23:09:04] "GET /arquivos_estaticos/angular-1.5.8/angular.min.js HTTP/1.1" 304 0
