System check identified no issues (0 silenced).
March 29, 2017 - 13:55:06
Django version 1.9.7, using settings 'sistema_contabil.settings'
Starting development server at http://localhost:8000/
Quit the server with CTRL-BREAK.
[30/Mar/2017 00:08:10] "GET /arquivos_estaticos/imagens/avatar5.png HTTP/1.1" 304 0
[30/Mar/2017 00:08:14] "GET /planos/ HTTP/1.1" 200 36150
[30/Mar/2017 00:08:14] "GET /arquivos_estaticos/styles/padrao/base_format.css HTTP/1.1" 304 0
[30/Mar/2017 00:08:14] "GET /arquivos_estaticos/styles/servico/plano.css HTTP/1.1" 304 0
[30/Mar/2017 00:08:14] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.css HTTP/1.1" 304 0
[30/Mar/2017 00:08:14] "GET /arquivos_estaticos/scripts/servico/plano.js HTTP/1.1" 304 0
[30/Mar/2017 00:08:15] "GET /api/preferencias/servicos/ HTTP/1.1" 200 58
[30/Mar/2017 00:08:15] "GET /api/planos/ HTTP/1.1" 200 2
[30/Mar/2017 00:08:22] "GET /preferencias/servicos/ HTTP/1.1" 200 39898
[30/Mar/2017 00:08:23] "GET /api/preferencias/servicos/ HTTP/1.1" 200 58
[30/Mar/2017 00:15:43] "POST /api/preferencias/novo_servico HTTP/1.1" 200 31
[30/Mar/2017 00:16:28] "POST /api/preferencias/alterar_servico/1/ HTTP/1.1" 200 31
[30/Mar/2017 00:20:50] "POST /api/preferencias/novo_servico HTTP/1.1" 200 31
[30/Mar/2017 00:20:58] "GET /planos/ HTTP/1.1" 200 36150
[30/Mar/2017 00:20:58] "GET /api/preferencias/servicos/ HTTP/1.1" 200 342
[30/Mar/2017 00:20:58] "GET /api/planos/ HTTP/1.1" 200 2
[30/Mar/2017 00:24:31] "GET /planos/ HTTP/1.1" 200 36139
[30/Mar/2017 00:24:31] "GET /arquivos_estaticos/jquery/jquery-2.2.0.min.js HTTP/1.1" 304 0
[30/Mar/2017 00:24:31] "GET /arquivos_estaticos/jquery/jquery-ui-1.11.4/jquery-ui.min.js HTTP/1.1" 304 0
[30/Mar/2017 00:24:31] "GET /arquivos_estaticos/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 0
[30/Mar/2017 00:24:31] "GET /arquivos_estaticos/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[30/Mar/2017 00:24:32] "GET /arquivos_estaticos/icones/css/font-awesome.min.css HTTP/1.1" 304 0
[30/Mar/2017 00:24:32] "GET /arquivos_estaticos/adminlte/css/AdminLTE.min.css HTTP/1.1" 304 0
[30/Mar/2017 00:24:32] "GET /arquivos_estaticos/adminlte/css/skins/skin-blue.min.css HTTP/1.1" 304 0
[30/Mar/2017 00:24:32] "GET /arquivos_estaticos/styles/padrao/base_format.css HTTP/1.1" 304 0
[30/Mar/2017 00:24:32] "GET /arquivos_estaticos/styles/servico/plano.css HTTP/1.1" 304 0
[30/Mar/2017 00:24:32] "GET /arquivos_estaticos/angular-1.5.8/angular.min.js HTTP/1.1" 304 0
[30/Mar/2017 00:24:32] "GET /arquivos_estaticos/scripts/padrao/controle_botoes.js HTTP/1.1" 304 0
[30/Mar/2017 00:24:32] "GET /arquivos_estaticos/scripts/servico/plano.js HTTP/1.1" 304 0
[30/Mar/2017 00:24:32] "GET /arquivos_estaticos/adminlte/js/app.min.js HTTP/1.1" 304 0
[30/Mar/2017 00:24:32] "GET /arquivos_estaticos/scripts/padrao/controle_componentes.js HTTP/1.1" 304 0
[30/Mar/2017 00:24:32] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.js HTTP/1.1" 304 0
[30/Mar/2017 00:24:32] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.css HTTP/1.1" 304 0
[30/Mar/2017 00:24:32] "GET /arquivos_estaticos/angular-1.5.8/angular-locale_pt-br.js HTTP/1.1" 304 0
[30/Mar/2017 00:24:32] "GET /arquivos_estaticos/imagens/logo.png HTTP/1.1" 304 0
[30/Mar/2017 00:24:32] "GET /arquivos_estaticos/imagens/avatar5.png HTTP/1.1" 304 0
[30/Mar/2017 00:24:32] "GET /api/planos HTTP/1.1" 301 0
[30/Mar/2017 00:24:32] "GET /api/preferencias/servicos/ HTTP/1.1" 200 342
[30/Mar/2017 00:24:32] "GET /api/planos/ HTTP/1.1" 200 2
[30/Mar/2017 00:26:48] "POST /api/planos/adicionar HTTP/1.1" 200 362
[30/Mar/2017 00:26:48] "GET /arquivos_estaticos/jquery/labelauty/source/images/input-unchecked.png HTTP/1.1" 304 0
[30/Mar/2017 00:34:40] "POST /api/planos/adicionar HTTP/1.1" 200 366
[30/Mar/2017 00:36:21] "POST /api/planos/adicionar HTTP/1.1" 200 367
[30/Mar/2017 00:36:27] "GET /arquivos_estaticos/jquery/labelauty/source/images/input-checked-10x10.png HTTP/1.1" 304 0
[30/Mar/2017 01:35:45] "GET /planos/ HTTP/1.1" 200 36154
[30/Mar/2017 01:35:45] "GET /arquivos_estaticos/adminlte/css/AdminLTE.min.css HTTP/1.1" 304 0
[30/Mar/2017 01:35:45] "GET /arquivos_estaticos/icones/css/font-awesome.min.css HTTP/1.1" 304 0
[30/Mar/2017 01:35:45] "GET /arquivos_estaticos/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[30/Mar/2017 01:35:45] "GET /arquivos_estaticos/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 0
[30/Mar/2017 01:35:45] "GET /arquivos_estaticos/jquery/jquery-ui-1.11.4/jquery-ui.min.js HTTP/1.1" 304 0
[30/Mar/2017 01:35:45] "GET /arquivos_estaticos/jquery/jquery-2.2.0.min.js HTTP/1.1" 304 0
[30/Mar/2017 01:35:46] "GET /arquivos_estaticos/styles/padrao/base_format.css HTTP/1.1" 304 0
[30/Mar/2017 01:35:46] "GET /arquivos_estaticos/styles/servico/plano.css HTTP/1.1" 304 0
[30/Mar/2017 01:35:46] "GET /arquivos_estaticos/adminlte/css/skins/skin-blue.min.css HTTP/1.1" 304 0
[30/Mar/2017 01:35:46] "GET /arquivos_estaticos/angular-1.5.8/angular.min.js HTTP/1.1" 304 0
[30/Mar/2017 01:35:46] "GET /arquivos_estaticos/angular-1.5.8/angular-locale_pt-br.js HTTP/1.1" 304 0
[30/Mar/2017 01:35:46] "GET /arquivos_estaticos/scripts/padrao/controle_botoes.js HTTP/1.1" 304 0
[30/Mar/2017 01:35:47] "GET /arquivos_estaticos/adminlte/js/app.min.js HTTP/1.1" 304 0
[30/Mar/2017 01:35:47] "GET /arquivos_estaticos/scripts/servico/plano.js HTTP/1.1" 304 0
[30/Mar/2017 01:35:47] "GET /arquivos_estaticos/scripts/padrao/controle_componentes.js HTTP/1.1" 304 0
[30/Mar/2017 01:35:47] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.js HTTP/1.1" 304 0
[30/Mar/2017 01:35:47] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.css HTTP/1.1" 304 0
[30/Mar/2017 01:35:48] "GET /arquivos_estaticos/imagens/logo.png HTTP/1.1" 304 0
[30/Mar/2017 01:35:48] "GET /arquivos_estaticos/imagens/avatar5.png HTTP/1.1" 304 0
[30/Mar/2017 01:35:48] "GET /api/planos HTTP/1.1" 301 0
[30/Mar/2017 01:35:48] "GET /api/preferencias/servicos/ HTTP/1.1" 200 342
[30/Mar/2017 01:35:48] "GET /api/planos/ HTTP/1.1" 200 1011
[30/Mar/2017 01:35:49] "GET /arquivos_estaticos/jquery/labelauty/source/images/input-unchecked.png HTTP/1.1" 304 0
[30/Mar/2017 01:36:00] "GET /arquivos_estaticos/jquery/labelauty/source/images/input-checked-10x10.png HTTP/1.1" 304 0
[30/Mar/2017 01:41:24] "POST /api/planos/atualizar HTTP/1.1" 200 369
[30/Mar/2017 01:59:53] "GET /planos/ HTTP/1.1" 200 36115
