System check identified no issues (0 silenced).
March 29, 2017 - 13:55:06
Django version 1.9.7, using settings 'sistema_contabil.settings'
Starting development server at http://localhost:8000/
Quit the server with CTRL-BREAK.
[30/Mar/2017 02:17:53] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.js HTTP/1.1" 304 0
[30/Mar/2017 02:17:53] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.css HTTP/1.1" 304 0
[30/Mar/2017 02:17:53] "GET /arquivos_estaticos/imagens/logo.png HTTP/1.1" 304 0
[30/Mar/2017 02:17:53] "GET /arquivos_estaticos/imagens/avatar5.png HTTP/1.1" 304 0
[30/Mar/2017 02:17:53] "GET /api/planos HTTP/1.1" 301 0
[30/Mar/2017 02:17:53] "GET /api/preferencias/servicos/ HTTP/1.1" 200 342
[30/Mar/2017 02:17:53] "GET /api/planos/ HTTP/1.1" 200 1012
[30/Mar/2017 02:17:54] "GET /arquivos_estaticos/jquery/labelauty/source/images/input-checked-10x10.png HTTP/1.1" 304 0
[30/Mar/2017 02:23:52] "GET /planos/ HTTP/1.1" 200 36401
[30/Mar/2017 02:23:52] "GET /arquivos_estaticos/jquery/jquery-2.2.0.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:23:52] "GET /arquivos_estaticos/jquery/jquery-ui-1.11.4/jquery-ui.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:23:52] "GET /arquivos_estaticos/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:23:52] "GET /arquivos_estaticos/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 0
[30/Mar/2017 02:23:52] "GET /arquivos_estaticos/icones/css/font-awesome.min.css HTTP/1.1" 304 0
[30/Mar/2017 02:23:52] "GET /arquivos_estaticos/adminlte/css/AdminLTE.min.css HTTP/1.1" 304 0
[30/Mar/2017 02:23:52] "GET /arquivos_estaticos/styles/padrao/base_format.css HTTP/1.1" 304 0
[30/Mar/2017 02:23:52] "GET /arquivos_estaticos/adminlte/css/skins/skin-blue.min.css HTTP/1.1" 304 0
[30/Mar/2017 02:23:52] "GET /arquivos_estaticos/styles/servico/plano.css HTTP/1.1" 304 0
[30/Mar/2017 02:23:52] "GET /arquivos_estaticos/angular-1.5.8/angular.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:23:52] "GET /arquivos_estaticos/angular-1.5.8/angular-locale_pt-br.js HTTP/1.1" 304 0
[30/Mar/2017 02:23:52] "GET /arquivos_estaticos/scripts/padrao/controle_botoes.js HTTP/1.1" 304 0
[30/Mar/2017 02:23:52] "GET /arquivos_estaticos/scripts/servico/plano.js HTTP/1.1" 304 0
[30/Mar/2017 02:23:52] "GET /arquivos_estaticos/adminlte/js/app.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:23:52] "GET /arquivos_estaticos/scripts/padrao/controle_componentes.js HTTP/1.1" 304 0
[30/Mar/2017 02:23:52] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.js HTTP/1.1" 304 0
[30/Mar/2017 02:23:52] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.css HTTP/1.1" 304 0
[30/Mar/2017 02:23:53] "GET /arquivos_estaticos/imagens/logo.png HTTP/1.1" 304 0
[30/Mar/2017 02:23:53] "GET /arquivos_estaticos/imagens/avatar5.png HTTP/1.1" 304 0
[30/Mar/2017 02:23:53] "GET /api/planos HTTP/1.1" 301 0
[30/Mar/2017 02:23:53] "GET /api/preferencias/servicos/ HTTP/1.1" 200 342
[30/Mar/2017 02:23:53] "GET /api/planos/ HTTP/1.1" 200 1012
[30/Mar/2017 02:23:54] "GET /arquivos_estaticos/jquery/labelauty/source/images/input-checked-10x10.png HTTP/1.1" 304 0
[30/Mar/2017 02:25:00] "GET /planos/ HTTP/1.1" 200 36420
[30/Mar/2017 02:25:00] "GET /arquivos_estaticos/jquery/jquery-2.2.0.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:25:00] "GET /arquivos_estaticos/adminlte/css/AdminLTE.min.css HTTP/1.1" 304 0
[30/Mar/2017 02:25:00] "GET /arquivos_estaticos/icones/css/font-awesome.min.css HTTP/1.1" 304 0
[30/Mar/2017 02:25:00] "GET /arquivos_estaticos/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:25:00] "GET /arquivos_estaticos/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 0
[30/Mar/2017 02:25:00] "GET /arquivos_estaticos/jquery/jquery-ui-1.11.4/jquery-ui.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:25:00] "GET /arquivos_estaticos/adminlte/css/skins/skin-blue.min.css HTTP/1.1" 304 0
[30/Mar/2017 02:25:00] "GET /arquivos_estaticos/styles/padrao/base_format.css HTTP/1.1" 304 0
[30/Mar/2017 02:25:00] "GET /arquivos_estaticos/styles/servico/plano.css HTTP/1.1" 304 0
[30/Mar/2017 02:25:00] "GET /arquivos_estaticos/angular-1.5.8/angular.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:25:00] "GET /arquivos_estaticos/angular-1.5.8/angular-locale_pt-br.js HTTP/1.1" 304 0
[30/Mar/2017 02:25:00] "GET /arquivos_estaticos/scripts/padrao/controle_botoes.js HTTP/1.1" 304 0
[30/Mar/2017 02:25:00] "GET /arquivos_estaticos/scripts/servico/plano.js HTTP/1.1" 304 0
[30/Mar/2017 02:25:01] "GET /arquivos_estaticos/adminlte/js/app.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:25:01] "GET /arquivos_estaticos/scripts/padrao/controle_componentes.js HTTP/1.1" 304 0
[30/Mar/2017 02:25:01] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.js HTTP/1.1" 304 0
[30/Mar/2017 02:25:01] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.css HTTP/1.1" 304 0
[30/Mar/2017 02:25:01] "GET /arquivos_estaticos/imagens/avatar5.png HTTP/1.1" 304 0
[30/Mar/2017 02:25:01] "GET /arquivos_estaticos/imagens/logo.png HTTP/1.1" 304 0
[30/Mar/2017 02:25:01] "GET /api/planos HTTP/1.1" 301 0
[30/Mar/2017 02:25:01] "GET /api/preferencias/servicos/ HTTP/1.1" 200 342
[30/Mar/2017 02:25:01] "GET /api/planos/ HTTP/1.1" 200 1012
[30/Mar/2017 02:25:03] "GET /arquivos_estaticos/jquery/labelauty/source/images/input-unchecked.png HTTP/1.1" 304 0
[30/Mar/2017 02:41:35] "GET /planos/ HTTP/1.1" 200 36361
[30/Mar/2017 02:41:35] "GET /arquivos_estaticos/jquery/jquery-2.2.0.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:41:35] "GET /arquivos_estaticos/jquery/jquery-ui-1.11.4/jquery-ui.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:41:35] "GET /arquivos_estaticos/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 0
[30/Mar/2017 02:41:35] "GET /arquivos_estaticos/icones/css/font-awesome.min.css HTTP/1.1" 304 0
[30/Mar/2017 02:41:35] "GET /arquivos_estaticos/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:41:35] "GET /arquivos_estaticos/adminlte/css/AdminLTE.min.css HTTP/1.1" 304 0
[30/Mar/2017 02:41:35] "GET /arquivos_estaticos/styles/padrao/base_format.css HTTP/1.1" 304 0
[30/Mar/2017 02:41:35] "GET /arquivos_estaticos/styles/servico/plano.css HTTP/1.1" 304 0
[30/Mar/2017 02:41:35] "GET /arquivos_estaticos/adminlte/css/skins/skin-blue.min.css HTTP/1.1" 304 0
[30/Mar/2017 02:41:35] "GET /arquivos_estaticos/angular-1.5.8/angular.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:41:35] "GET /arquivos_estaticos/angular-1.5.8/angular-locale_pt-br.js HTTP/1.1" 304 0
[30/Mar/2017 02:41:35] "GET /arquivos_estaticos/scripts/padrao/controle_botoes.js HTTP/1.1" 304 0
[30/Mar/2017 02:41:35] "GET /arquivos_estaticos/scripts/servico/plano.js HTTP/1.1" 304 0
[30/Mar/2017 02:41:35] "GET /arquivos_estaticos/adminlte/js/app.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:41:35] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.js HTTP/1.1" 304 0
[30/Mar/2017 02:41:35] "GET /arquivos_estaticos/scripts/padrao/controle_componentes.js HTTP/1.1" 304 0
[30/Mar/2017 02:41:35] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.css HTTP/1.1" 304 0
[30/Mar/2017 02:41:35] "GET /arquivos_estaticos/imagens/logo.png HTTP/1.1" 304 0
[30/Mar/2017 02:41:35] "GET /arquivos_estaticos/imagens/avatar5.png HTTP/1.1" 304 0
[30/Mar/2017 02:41:35] "GET /api/planos HTTP/1.1" 301 0
[30/Mar/2017 02:41:35] "GET /api/preferencias/servicos/ HTTP/1.1" 200 342
[30/Mar/2017 02:41:35] "GET /api/planos/ HTTP/1.1" 200 1012
[30/Mar/2017 02:48:34] "GET /arquivos_estaticos/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 54416
[30/Mar/2017 02:48:34] "GET /arquivos_estaticos/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 54416
[30/Mar/2017 02:51:07] "GET /planos/ HTTP/1.1" 200 36392
[30/Mar/2017 02:51:07] "GET /arquivos_estaticos/jquery/jquery-2.2.0.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:51:07] "GET /arquivos_estaticos/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 0
[30/Mar/2017 02:51:07] "GET /arquivos_estaticos/jquery/jquery-ui-1.11.4/jquery-ui.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:51:07] "GET /arquivos_estaticos/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:51:07] "GET /arquivos_estaticos/adminlte/css/AdminLTE.min.css HTTP/1.1" 304 0
[30/Mar/2017 02:51:07] "GET /arquivos_estaticos/icones/css/font-awesome.min.css HTTP/1.1" 304 0
[30/Mar/2017 02:51:07] "GET /arquivos_estaticos/adminlte/css/skins/skin-blue.min.css HTTP/1.1" 304 0
[30/Mar/2017 02:51:07] "GET /arquivos_estaticos/styles/padrao/base_format.css HTTP/1.1" 304 0
[30/Mar/2017 02:51:07] "GET /arquivos_estaticos/styles/servico/plano.css HTTP/1.1" 304 0
[30/Mar/2017 02:51:07] "GET /arquivos_estaticos/angular-1.5.8/angular.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:51:07] "GET /arquivos_estaticos/angular-1.5.8/angular-locale_pt-br.js HTTP/1.1" 304 0
[30/Mar/2017 02:51:07] "GET /arquivos_estaticos/scripts/padrao/controle_botoes.js HTTP/1.1" 304 0
[30/Mar/2017 02:51:07] "GET /arquivos_estaticos/scripts/servico/plano.js HTTP/1.1" 304 0
[30/Mar/2017 02:51:07] "GET /arquivos_estaticos/adminlte/js/app.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:51:07] "GET /arquivos_estaticos/scripts/padrao/controle_componentes.js HTTP/1.1" 304 0
[30/Mar/2017 02:51:07] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.js HTTP/1.1" 304 0
[30/Mar/2017 02:51:07] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.css HTTP/1.1" 304 0
[30/Mar/2017 02:51:08] "GET /arquivos_estaticos/imagens/logo.png HTTP/1.1" 304 0
[30/Mar/2017 02:51:08] "GET /arquivos_estaticos/imagens/avatar5.png HTTP/1.1" 304 0
[30/Mar/2017 02:51:08] "GET /api/planos HTTP/1.1" 301 0
[30/Mar/2017 02:51:08] "GET /api/preferencias/servicos/ HTTP/1.1" 200 342
[30/Mar/2017 02:51:08] "GET /api/planos/ HTTP/1.1" 200 1012
[30/Mar/2017 02:56:21] "GET /planos/ HTTP/1.1" 200 36426
[30/Mar/2017 02:56:21] "GET /arquivos_estaticos/jquery/jquery-2.2.0.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:56:21] "GET /arquivos_estaticos/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 0
[30/Mar/2017 02:56:21] "GET /arquivos_estaticos/jquery/jquery-ui-1.11.4/jquery-ui.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:56:21] "GET /arquivos_estaticos/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:56:21] "GET /arquivos_estaticos/icones/css/font-awesome.min.css HTTP/1.1" 304 0
[30/Mar/2017 02:56:21] "GET /arquivos_estaticos/adminlte/css/AdminLTE.min.css HTTP/1.1" 304 0
[30/Mar/2017 02:56:21] "GET /arquivos_estaticos/adminlte/css/skins/skin-blue.min.css HTTP/1.1" 304 0
[30/Mar/2017 02:56:21] "GET /arquivos_estaticos/styles/padrao/base_format.css HTTP/1.1" 304 0
[30/Mar/2017 02:56:21] "GET /arquivos_estaticos/styles/servico/plano.css HTTP/1.1" 304 0
[30/Mar/2017 02:56:21] "GET /arquivos_estaticos/angular-1.5.8/angular.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:56:21] "GET /arquivos_estaticos/angular-1.5.8/angular-locale_pt-br.js HTTP/1.1" 304 0
[30/Mar/2017 02:56:21] "GET /arquivos_estaticos/scripts/padrao/controle_botoes.js HTTP/1.1" 304 0
[30/Mar/2017 02:56:21] "GET /arquivos_estaticos/scripts/servico/plano.js HTTP/1.1" 304 0
[30/Mar/2017 02:56:21] "GET /arquivos_estaticos/adminlte/js/app.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:56:21] "GET /arquivos_estaticos/scripts/padrao/controle_componentes.js HTTP/1.1" 304 0
[30/Mar/2017 02:56:21] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.js HTTP/1.1" 304 0
[30/Mar/2017 02:56:21] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.css HTTP/1.1" 304 0
[30/Mar/2017 02:56:21] "GET /arquivos_estaticos/imagens/logo.png HTTP/1.1" 304 0
[30/Mar/2017 02:56:21] "GET /arquivos_estaticos/imagens/avatar5.png HTTP/1.1" 304 0
[30/Mar/2017 02:56:22] "GET /api/planos HTTP/1.1" 301 0
[30/Mar/2017 02:56:22] "GET /api/preferencias/servicos/ HTTP/1.1" 200 342
[30/Mar/2017 02:56:22] "GET /api/planos/ HTTP/1.1" 200 1012
[30/Mar/2017 02:59:53] "GET /planos/ HTTP/1.1" 200 36637
[30/Mar/2017 02:59:53] "GET /arquivos_estaticos/jquery/jquery-2.2.0.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:59:53] "GET /arquivos_estaticos/jquery/jquery-ui-1.11.4/jquery-ui.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:59:53] "GET /arquivos_estaticos/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 0
[30/Mar/2017 02:59:53] "GET /arquivos_estaticos/icones/css/font-awesome.min.css HTTP/1.1" 304 0
[30/Mar/2017 02:59:53] "GET /arquivos_estaticos/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:59:53] "GET /arquivos_estaticos/adminlte/css/AdminLTE.min.css HTTP/1.1" 304 0
[30/Mar/2017 02:59:53] "GET /arquivos_estaticos/adminlte/css/skins/skin-blue.min.css HTTP/1.1" 304 0
[30/Mar/2017 02:59:53] "GET /arquivos_estaticos/styles/padrao/base_format.css HTTP/1.1" 304 0
[30/Mar/2017 02:59:53] "GET /arquivos_estaticos/styles/servico/plano.css HTTP/1.1" 304 0
[30/Mar/2017 02:59:53] "GET /arquivos_estaticos/angular-1.5.8/angular.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:59:53] "GET /arquivos_estaticos/angular-1.5.8/angular-locale_pt-br.js HTTP/1.1" 304 0
[30/Mar/2017 02:59:53] "GET /arquivos_estaticos/scripts/padrao/controle_botoes.js HTTP/1.1" 304 0
[30/Mar/2017 02:59:53] "GET /arquivos_estaticos/scripts/servico/plano.js HTTP/1.1" 304 0
[30/Mar/2017 02:59:53] "GET /arquivos_estaticos/adminlte/js/app.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:59:53] "GET /arquivos_estaticos/scripts/padrao/controle_componentes.js HTTP/1.1" 304 0
[30/Mar/2017 02:59:53] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.js HTTP/1.1" 304 0
[30/Mar/2017 02:59:53] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.css HTTP/1.1" 304 0
[30/Mar/2017 02:59:54] "GET /arquivos_estaticos/imagens/logo.png HTTP/1.1" 304 0
[30/Mar/2017 02:59:54] "GET /arquivos_estaticos/imagens/avatar5.png HTTP/1.1" 304 0
[30/Mar/2017 02:59:54] "GET /api/planos HTTP/1.1" 301 0
[30/Mar/2017 02:59:54] "GET /api/preferencias/servicos/ HTTP/1.1" 200 342
[30/Mar/2017 02:59:54] "GET /api/planos/ HTTP/1.1" 200 1012
[30/Mar/2017 03:09:57] "GET /planos/ HTTP/1.1" 200 36826
[30/Mar/2017 03:09:57] "GET /arquivos_estaticos/jquery/jquery-2.2.0.min.js HTTP/1.1" 304 0
[30/Mar/2017 03:09:57] "GET /arquivos_estaticos/jquery/jquery-ui-1.11.4/jquery-ui.min.js HTTP/1.1" 304 0
[30/Mar/2017 03:09:57] "GET /arquivos_estaticos/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[30/Mar/2017 03:09:57] "GET /arquivos_estaticos/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 0
[30/Mar/2017 03:09:57] "GET /arquivos_estaticos/icones/css/font-awesome.min.css HTTP/1.1" 304 0
[30/Mar/2017 03:09:57] "GET /arquivos_estaticos/adminlte/css/AdminLTE.min.css HTTP/1.1" 304 0
[30/Mar/2017 03:09:57] "GET /arquivos_estaticos/adminlte/css/skins/skin-blue.min.css HTTP/1.1" 304 0
[30/Mar/2017 03:09:57] "GET /arquivos_estaticos/styles/padrao/base_format.css HTTP/1.1" 304 0
[30/Mar/2017 03:09:57] "GET /arquivos_estaticos/styles/servico/plano.css HTTP/1.1" 304 0
[30/Mar/2017 03:09:57] "GET /arquivos_estaticos/angular-1.5.8/angular.min.js HTTP/1.1" 304 0
[30/Mar/2017 03:09:57] "GET /arquivos_estaticos/angular-1.5.8/angular-locale_pt-br.js HTTP/1.1" 304 0
[30/Mar/2017 03:09:57] "GET /arquivos_estaticos/scripts/padrao/controle_botoes.js HTTP/1.1" 304 0
[30/Mar/2017 03:09:57] "GET /arquivos_estaticos/scripts/servico/plano.js HTTP/1.1" 304 0
[30/Mar/2017 03:09:57] "GET /arquivos_estaticos/adminlte/js/app.min.js HTTP/1.1" 304 0
[30/Mar/2017 03:09:57] "GET /arquivos_estaticos/scripts/padrao/controle_componentes.js HTTP/1.1" 304 0
[30/Mar/2017 03:09:57] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.js HTTP/1.1" 304 0
[30/Mar/2017 03:09:57] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.css HTTP/1.1" 304 0
[30/Mar/2017 03:09:58] "GET /arquivos_estaticos/imagens/avatar5.png HTTP/1.1" 304 0
[30/Mar/2017 03:09:58] "GET /arquivos_estaticos/imagens/logo.png HTTP/1.1" 304 0
[30/Mar/2017 03:09:58] "GET /api/planos HTTP/1.1" 301 0
[30/Mar/2017 03:09:58] "GET /api/preferencias/servicos/ HTTP/1.1" 200 342
[30/Mar/2017 03:09:58] "GET /api/planos/ HTTP/1.1" 200 1012
[30/Mar/2017 03:12:41] "GET /planos/ HTTP/1.1" 200 36825
[30/Mar/2017 03:12:41] "GET /arquivos_estaticos/jquery/jquery-2.2.0.min.js HTTP/1.1" 304 0
[30/Mar/2017 03:12:41] "GET /arquivos_estaticos/jquery/jquery-ui-1.11.4/jquery-ui.min.js HTTP/1.1" 304 0
[30/Mar/2017 03:12:41] "GET /arquivos_estaticos/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 0
[30/Mar/2017 03:12:41] "GET /arquivos_estaticos/icones/css/font-awesome.min.css HTTP/1.1" 304 0
[30/Mar/2017 03:12:41] "GET /arquivos_estaticos/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[30/Mar/2017 03:12:41] "GET /arquivos_estaticos/adminlte/css/AdminLTE.min.css HTTP/1.1" 304 0
[30/Mar/2017 03:12:41] "GET /arquivos_estaticos/adminlte/css/skins/skin-blue.min.css HTTP/1.1" 304 0
[30/Mar/2017 03:12:41] "GET /arquivos_estaticos/styles/padrao/base_format.css HTTP/1.1" 304 0
[30/Mar/2017 03:12:41] "GET /arquivos_estaticos/styles/servico/plano.css HTTP/1.1" 304 0
[30/Mar/2017 03:12:41] "GET /arquivos_estaticos/angular-1.5.8/angular.min.js HTTP/1.1" 304 0
[30/Mar/2017 03:12:41] "GET /arquivos_estaticos/angular-1.5.8/angular-locale_pt-br.js HTTP/1.1" 304 0
[30/Mar/2017 03:12:41] "GET /arquivos_estaticos/scripts/padrao/controle_botoes.js HTTP/1.1" 304 0
[30/Mar/2017 03:12:41] "GET /arquivos_estaticos/scripts/servico/plano.js HTTP/1.1" 304 0
[30/Mar/2017 03:12:41] "GET /arquivos_estaticos/adminlte/js/app.min.js HTTP/1.1" 304 0
[30/Mar/2017 03:12:41] "GET /arquivos_estaticos/scripts/padrao/controle_componentes.js HTTP/1.1" 304 0
[30/Mar/2017 03:12:41] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.js HTTP/1.1" 304 0
[30/Mar/2017 03:12:41] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.css HTTP/1.1" 304 0
[30/Mar/2017 03:12:42] "GET /arquivos_estaticos/imagens/logo.png HTTP/1.1" 304 0
[30/Mar/2017 03:12:42] "GET /arquivos_estaticos/imagens/avatar5.png HTTP/1.1" 304 0
[30/Mar/2017 03:12:42] "GET /api/planos HTTP/1.1" 301 0
[30/Mar/2017 03:12:42] "GET /api/preferencias/servicos/ HTTP/1.1" 200 342
[30/Mar/2017 03:12:42] "GET /api/planos/ HTTP/1.1" 200 1012
[30/Mar/2017 03:27:14] "GET /planos/ HTTP/1.1" 200 36854
[30/Mar/2017 03:27:14] "GET /arquivos_estaticos/jquery/jquery-2.2.0.min.js HTTP/1.1" 304 0
[30/Mar/2017 03:27:14] "GET /arquivos_estaticos/jquery/jquery-ui-1.11.4/jquery-ui.min.js HTTP/1.1" 304 0
[30/Mar/2017 03:27:14] "GET /arquivos_estaticos/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[30/Mar/2017 03:27:14] "GET /arquivos_estaticos/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 0
[30/Mar/2017 03:27:15] "GET /arquivos_estaticos/icones/css/font-awesome.min.css HTTP/1.1" 304 0
[30/Mar/2017 03:27:15] "GET /arquivos_estaticos/adminlte/css/AdminLTE.min.css HTTP/1.1" 304 0
[30/Mar/2017 03:27:15] "GET /arquivos_estaticos/adminlte/css/skins/skin-blue.min.css HTTP/1.1" 304 0
[30/Mar/2017 03:27:15] "GET /arquivos_estaticos/styles/padrao/base_format.css HTTP/1.1" 304 0
[30/Mar/2017 03:27:15] "GET /arquivos_estaticos/styles/servico/plano.css HTTP/1.1" 304 0
[30/Mar/2017 03:27:15] "GET /arquivos_estaticos/angular-1.5.8/angular.min.js HTTP/1.1" 304 0
[30/Mar/2017 03:27:15] "GET /arquivos_estaticos/angular-1.5.8/angular-locale_pt-br.js HTTP/1.1" 304 0
[30/Mar/2017 03:27:15] "GET /arquivos_estaticos/scripts/padrao/controle_botoes.js HTTP/1.1" 304 0
[30/Mar/2017 03:27:15] "GET /arquivos_estaticos/scripts/servico/plano.js HTTP/1.1" 304 0
[30/Mar/2017 03:27:15] "GET /arquivos_estaticos/adminlte/js/app.min.js HTTP/1.1" 304 0
[30/Mar/2017 03:27:15] "GET /arquivos_estaticos/scripts/padrao/controle_componentes.js HTTP/1.1" 304 0
[30/Mar/2017 03:27:15] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.js HTTP/1.1" 304 0
[30/Mar/2017 03:27:15] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.css HTTP/1.1" 304 0
[30/Mar/2017 03:27:15] "GET /arquivos_estaticos/imagens/logo.png HTTP/1.1" 304 0
[30/Mar/2017 03:27:15] "GET /arquivos_estaticos/imagens/avatar5.png HTTP/1.1" 304 0
[30/Mar/2017 03:27:15] "GET /api/planos HTTP/1.1" 301 0
[30/Mar/2017 03:27:15] "GET /api/preferencias/servicos/ HTTP/1.1" 200 342
[30/Mar/2017 03:27:15] "GET /api/planos/ HTTP/1.1" 200 1012
[30/Mar/2017 03:27:52] "GET /planos/ HTTP/1.1" 200 36857
[30/Mar/2017 03:27:52] "GET /arquivos_estaticos/jquery/jquery-2.2.0.min.js HTTP/1.1" 304 0
[30/Mar/2017 03:27:52] "GET /arquivos_estaticos/jquery/jquery-ui-1.11.4/jquery-ui.min.js HTTP/1.1" 304 0
[30/Mar/2017 03:27:52] "GET /arquivos_estaticos/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 0
[30/Mar/2017 03:27:53] "GET /arquivos_estaticos/icones/css/font-awesome.min.css HTTP/1.1" 304 0
[30/Mar/2017 03:27:53] "GET /arquivos_estaticos/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[30/Mar/2017 03:27:53] "GET /arquivos_estaticos/adminlte/css/AdminLTE.min.css HTTP/1.1" 304 0
[30/Mar/2017 03:27:53] "GET /arquivos_estaticos/adminlte/css/skins/skin-blue.min.css HTTP/1.1" 304 0
[30/Mar/2017 03:27:53] "GET /arquivos_estaticos/styles/padrao/base_format.css HTTP/1.1" 304 0
[30/Mar/2017 03:27:53] "GET /arquivos_estaticos/styles/servico/plano.css HTTP/1.1" 304 0
[30/Mar/2017 03:27:53] "GET /arquivos_estaticos/angular-1.5.8/angular.min.js HTTP/1.1" 304 0
[30/Mar/2017 03:27:53] "GET /arquivos_estaticos/angular-1.5.8/angular-locale_pt-br.js HTTP/1.1" 304 0
[30/Mar/2017 03:27:53] "GET /arquivos_estaticos/scripts/padrao/controle_botoes.js HTTP/1.1" 304 0
[30/Mar/2017 03:27:53] "GET /arquivos_estaticos/scripts/servico/plano.js HTTP/1.1" 304 0
[30/Mar/2017 03:27:53] "GET /arquivos_estaticos/adminlte/js/app.min.js HTTP/1.1" 304 0
[30/Mar/2017 03:27:53] "GET /arquivos_estaticos/scripts/padrao/controle_componentes.js HTTP/1.1" 304 0
[30/Mar/2017 03:27:53] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.js HTTP/1.1" 304 0
[30/Mar/2017 03:27:53] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.css HTTP/1.1" 304 0
[30/Mar/2017 03:27:53] "GET /arquivos_estaticos/imagens/logo.png HTTP/1.1" 304 0
[30/Mar/2017 03:27:53] "GET /arquivos_estaticos/imagens/avatar5.png HTTP/1.1" 304 0
[30/Mar/2017 03:27:53] "GET /api/planos HTTP/1.1" 301 0
[30/Mar/2017 03:27:53] "GET /api/preferencias/servicos/ HTTP/1.1" 200 342
[30/Mar/2017 03:27:53] "GET /api/planos/ HTTP/1.1" 200 1012
[30/Mar/2017 03:29:09] "GET /planos/ HTTP/1.1" 200 36825
[30/Mar/2017 03:29:09] "GET /arquivos_estaticos/jquery/jquery-2.2.0.min.js HTTP/1.1" 304 0
[30/Mar/2017 03:29:09] "GET /arquivos_estaticos/jquery/jquery-ui-1.11.4/jquery-ui.min.js HTTP/1.1" 304 0
